class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21
Hi,0.7962448596954346,0.9552187919616699,6.736498789905454e-07,0.0,0.7084032893180847,0.9596272706985474,-0.016403304412961006,0.0,0.6338919997215271,0.9204550981521606,-0.03999190032482147,0.0,0.5886890888214111,0.8706190586090088,-0.06047828122973442,0.0,0.5512150526046753,0.8427950143814087,-0.08476445078849792,0.0,0.6251316070556641,0.8226401209831238,-0.07885774970054626,0.0,0.5463574528694153,0.7100292444229126,-0.11824695020914078,0.0,0.4945594072341919,0.638954758644104,-0.1411968171596527,0.0,0.4501439332962036,0.583998441696167,-0.1552266925573349,0.0,0.6833287477493286,0.7766881585121155,-0.09258649498224258,0.0,0.6111865639686584,0.6455071568489075,-0.12982536852359772,0.0,0.5577905774116516,0.5574171543121338,-0.15355083346366882,0.0,0.5115020871162415,0.48298051953315735,-0.16807781159877777,0.0,0.7499531507492065,0.7561346888542175,-0.10386119782924652,0.0,0.6951389908790588,0.6221132278442383,-0.14021795988082886,0.0,0.6554403305053711,0.5346666574478149,-0.16138949990272522,0.0,0.6216335296630859,0.45817306637763977,-0.17299148440361023,0.0,0.8183855414390564,0.7534288167953491,-0.11316651105880737,0.0,0.7965324521064758,0.6455374360084534,-0.14513221383094788,0.0,0.7748286724090576,0.5749737024307251,-0.15376833081245422,0.0,0.7515312433242798,0.5090660452842712,-0.15574927628040314,0.0
Hi,0.7684020400047302,0.9032715559005737,7.327590196837264e-07,0.0,0.6751697063446045,0.9178792238235474,-0.033982254564762115,0.0,0.5689780712127686,0.8545271158218384,-0.048998814076185226,0.0,0.49143290519714355,0.7966435551643372,-0.06092895567417145,0.0,0.424520343542099,0.7807395458221436,-0.07170767337083817,0.0,0.571410059928894,0.6698309183120728,-0.00932996440678835,0.0,0.5119214057922363,0.5908488035202026,-0.018834412097930908,0.0,0.474729061126709,0.5347363948822021,-0.03557560220360756,0.0,0.4414677023887634,0.4870721697807312,-0.05171557515859604,0.0,0.6217041611671448,0.61845862865448,-0.012432614341378212,0.0,0.5721718072891235,0.5225319862365723,-0.0195988267660141,0.0,0.5443148016929626,0.4600211977958679,-0.03559025749564171,0.0,0.5220754146575928,0.4158792197704315,-0.04868452250957489,0.0,0.682147741317749,0.5902345180511475,-0.020890438929200172,0.0,0.6373183131217957,0.478921115398407,-0.03597148507833481,0.0,0.6057453155517578,0.40436145663261414,-0.05042425915598869,0.0,0.5743756890296936,0.34316790103912354,-0.06187673658132553,0.0,0.7517332434654236,0.5846743583679199,-0.03244238719344139,0.0,0.723595917224884,0.4812034070491791,-0.04958227649331093,0.0,0.7017232775688171,0.4141636788845062,-0.056359224021434784,0.0,0.6776193976402283,0.3559305667877197,-0.06100882217288017,0.0
Hi,0.7595704197883606,0.8810074329376221,7.567088005089317e-07,0.0,0.6624748706817627,0.8961642384529114,-0.04067819565534592,0.0,0.5553894639015198,0.82977294921875,-0.061578016728162766,0.0,0.47625550627708435,0.7663649916648865,-0.07872284948825836,0.0,0.40260058641433716,0.7497331500053406,-0.09529425948858261,0.0,0.5495059490203857,0.6276814937591553,-0.030709506943821907,0.0,0.467793345451355,0.5255886912345886,-0.05893808603286743,0.0,0.4162493348121643,0.4594067931175232,-0.08525336533784866,0.0,0.3735438883304596,0.40424174070358276,-0.10525959730148315,0.0,0.6023113131523132,0.5733404755592346,-0.03615535795688629,0.0,0.528357744216919,0.45119816064834595,-0.060815002769231796,0.0,0.4778425693511963,0.36780551075935364,-0.08652395009994507,0.0,0.4340064525604248,0.30223387479782104,-0.10448811948299408,0.0,0.6679668426513672,0.553046464920044,-0.0471600778400898,0.0,0.6188080310821533,0.42184895277023315,-0.07569422572851181,0.0,0.5844491124153137,0.3390865623950958,-0.09644457697868347,0.0,0.5505203008651733,0.2693186402320862,-0.11014432460069656,0.0,0.7423685193061829,0.5608103275299072,-0.061385076493024826,0.0,0.7199497818946838,0.45086854696273804,-0.08856218308210373,0.0,0.6975777745246887,0.3817426264286041,-0.09824657440185547,0.0,0.6701282262802124,0.31960755586624146,-0.10317986458539963,0.0
Hi,0.7641900181770325,0.8458315134048462,7.30331748854951e-07,0.0,0.6501557230949402,0.8473584055900574,-0.04046443849802017,0.0,0.5351436138153076,0.7762186527252197,-0.05918058007955551,0.0,0.44907355308532715,0.7110800743103027,-0.07455019652843475,0.0,0.374362051486969,0.6866320371627808,-0.08807983249425888,0.0,0.5364800691604614,0.5678653717041016,-0.020664473995566368,0.0,0.4490112066268921,0.45397746562957764,-0.04553765058517456,0.0,0.3969970643520355,0.3856022357940674,-0.07022170722484589,0.0,0.3526252508163452,0.32564830780029297,-0.08937464654445648,0.0,0.5905954837799072,0.5122750997543335,-0.024331144988536835,0.0,0.514306902885437,0.3787253797054291,-0.04334770515561104,0.0,0.4655987620353699,0.29568731784820557,-0.06529417634010315,0.0,0.4228343963623047,0.23115965723991394,-0.08160052448511124,0.0,0.6572958827018738,0.49150654673576355,-0.034365374594926834,0.0,0.6078580021858215,0.3540147542953491,-0.055780079215765,0.0,0.5739391446113586,0.27012306451797485,-0.07109687477350235,0.0,0.5404950380325317,0.1998070776462555,-0.08232952654361725,0.0,0.7322485446929932,0.49780428409576416,-0.04868185520172119,0.0,0.7091658115386963,0.38556724786758423,-0.0674813762307167,0.0,0.6886783838272095,0.3147866725921631,-0.07216496020555496,0.0,0.6658451557159424,0.25171834230422974,-0.0748027116060257,0.0
Hi,0.7727291584014893,0.856200635433197,5.168615189177217e-07,0.0,0.6533114910125732,0.8447036147117615,-0.03908146172761917,0.0,0.5358462333679199,0.7725906372070312,-0.055448323488235474,0.0,0.4480230212211609,0.7108514308929443,-0.07016389816999435,0.0,0.37264484167099,0.6809834837913513,-0.08359652012586594,0.0,0.5369808673858643,0.5705757737159729,-0.011595122516155243,0.0,0.452727735042572,0.45744335651397705,-0.03938862308859825,0.0,0.4005560278892517,0.39131033420562744,-0.06667182594537735,0.0,0.35612499713897705,0.3293435573577881,-0.08822782337665558,0.0,0.5924556255340576,0.5128241777420044,-0.01796867698431015,0.0,0.5183438062667847,0.38094931840896606,-0.03890213370323181,0.0,0.46959060430526733,0.29799896478652954,-0.06288672983646393,0.0,0.4264119565486908,0.2286565899848938,-0.08198883384466171,0.0,0.6587325930595398,0.49007803201675415,-0.03217041492462158,0.0,0.6094515919685364,0.3521179258823395,-0.05664467811584473,0.0,0.5764896273612976,0.2681475579738617,-0.07275976985692978,0.0,0.5425519347190857,0.19644150137901306,-0.08535033464431763,0.0,0.73210608959198,0.49420732259750366,-0.0509888157248497,0.0,0.7096724510192871,0.38554227352142334,-0.0723554864525795,0.0,0.6914506554603577,0.31442826986312866,-0.07842941582202911,0.0,0.670222282409668,0.2490989863872528,-0.08313614130020142,0.0
Hi,0.7737079858779907,0.8558672666549683,4.998435088054975e-07,0.0,0.6548849940299988,0.8444326519966125,-0.036276284605264664,0.0,0.5343160033226013,0.7673100233078003,-0.05107725411653519,0.0,0.44680821895599365,0.7017235159873962,-0.06482485681772232,0.0,0.37115561962127686,0.6773594617843628,-0.07766794413328171,0.0,0.5403590202331543,0.565261960029602,-0.012236440554261208,0.0,0.4551093876361847,0.44912683963775635,-0.04039160534739494,0.0,0.40197837352752686,0.3825768828392029,-0.06746266782283783,0.0,0.35570359230041504,0.3215106129646301,-0.08883264660835266,0.0,0.5937502980232239,0.509217381477356,-0.020318850874900818,0.0,0.5185391306877136,0.3734505772590637,-0.04157894849777222,0.0,0.46935510635375977,0.2900470495223999,-0.06520567834377289,0.0,0.42566490173339844,0.22167402505874634,-0.08408483862876892,0.0,0.6588708162307739,0.48629477620124817,-0.035872165113687515,0.0,0.6092840433120728,0.3458494544029236,-0.06016414985060692,0.0,0.5750545859336853,0.25996747612953186,-0.0764780342578888,0.0,0.5399031043052673,0.18624016642570496,-0.08950568735599518,0.0,0.7320900559425354,0.4895980656147003,-0.05592026934027672,0.0,0.7095394134521484,0.37692752480506897,-0.07704509794712067,0.0,0.6906577944755554,0.30425119400024414,-0.08350230753421783,0.0,0.6680561900138855,0.23781830072402954,-0.08882944285869598,0.0
Hi,0.7870602011680603,0.8476929664611816,5.452589562082721e-07,0.0,0.665228009223938,0.83453768491745,-0.04075132682919502,0.0,0.5417559146881104,0.7548601031303406,-0.05746372044086456,0.0,0.4508872926235199,0.686475396156311,-0.07184389978647232,0.0,0.3704509735107422,0.6613375544548035,-0.08416308462619781,0.0,0.5523332357406616,0.5405901670455933,-0.014725333079695702,0.0,0.46557509899139404,0.4202244281768799,-0.041192587465047836,0.0,0.4117133617401123,0.3519214689731598,-0.06699133664369583,0.0,0.3645704984664917,0.28911009430885315,-0.08780798316001892,0.0,0.6080796718597412,0.48660820722579956,-0.02051720954477787,0.0,0.5322245955467224,0.3470558822154999,-0.03988150134682655,0.0,0.4836548864841461,0.2601665258407593,-0.061823103576898575,0.0,0.44097188115119934,0.18836405873298645,-0.07964842021465302,0.0,0.6761645674705505,0.46717363595962524,-0.034090738743543625,0.0,0.6256309151649475,0.3216674029827118,-0.05786370858550072,0.0,0.5911737084388733,0.23388803005218506,-0.07303813099861145,0.0,0.5553794503211975,0.15770429372787476,-0.08528131991624832,0.0,0.7524675130844116,0.47362053394317627,-0.05247211828827858,0.0,0.7305158376693726,0.3590608239173889,-0.07437890768051147,0.0,0.710411787033081,0.28573453426361084,-0.08088253438472748,0.0,0.6865600347518921,0.21713882684707642,-0.08592310547828674,0.0
Hi,0.7872581481933594,0.8543093204498291,5.145596446709533e-07,0.0,0.6651051044464111,0.8335914611816406,-0.03999213129281998,0.0,0.545093297958374,0.7564957737922668,-0.05904862657189369,0.0,0.45457762479782104,0.6892082095146179,-0.07668546587228775,0.0,0.37471359968185425,0.6564002633094788,-0.0930425375699997,0.0,0.5528088808059692,0.5391330122947693,-0.014650420285761356,0.0,0.4698445796966553,0.41974860429763794,-0.04549753665924072,0.0,0.4173203706741333,0.350774884223938,-0.07497156411409378,0.0,0.3723451495170593,0.2867332994937897,-0.09801167249679565,0.0,0.6098880767822266,0.4844399690628052,-0.022673318162560463,0.0,0.5368304252624512,0.3447169363498688,-0.04594907537102699,0.0,0.48917391896247864,0.2586154639720917,-0.07048851996660233,0.0,0.44684621691703796,0.18755927681922913,-0.0900687575340271,0.0,0.6780614852905273,0.464918315410614,-0.03891284018754959,0.0,0.6321038603782654,0.31875884532928467,-0.0659024566411972,0.0,0.5997709035873413,0.23025932908058167,-0.08245906233787537,0.0,0.5663948059082031,0.15476331114768982,-0.09544286131858826,0.0,0.7533539533615112,0.4737395644187927,-0.059938669204711914,0.0,0.7339552640914917,0.3585653603076935,-0.08346361666917801,0.0,0.7168212532997131,0.28311485052108765,-0.09046795219182968,0.0,0.6960986256599426,0.21354752779006958,-0.09591493010520935,0.0
Hi,0.791157603263855,0.8566009402275085,5.27574059105973e-07,0.0,0.6683582663536072,0.8383864164352417,-0.04210202768445015,0.0,0.547286868095398,0.7591185569763184,-0.06033497676253319,0.0,0.45614027976989746,0.687217652797699,-0.0766478031873703,0.0,0.3759075403213501,0.6546410322189331,-0.09149600565433502,0.0,0.5564162731170654,0.540942370891571,-0.013433254323899746,0.0,0.47369125485420227,0.4188537001609802,-0.042785853147506714,0.0,0.42179423570632935,0.34945300221443176,-0.07138241827487946,0.0,0.37707728147506714,0.2847273349761963,-0.09400296211242676,0.0,0.6141690015792847,0.48611658811569214,-0.01995900459587574,0.0,0.541070818901062,0.34344857931137085,-0.04154222458600998,0.0,0.4939418435096741,0.25572383403778076,-0.06547563523054123,0.0,0.45228344202041626,0.18348366022109985,-0.08477460592985153,0.0,0.6834827661514282,0.4682883024215698,-0.03503553569316864,0.0,0.6395267248153687,0.31882113218307495,-0.06115749105811119,0.0,0.6089590191841125,0.22919532656669617,-0.07793527096509933,0.0,0.5770971775054932,0.15274980664253235,-0.09112231433391571,0.0,0.759986162185669,0.4786220192909241,-0.05510304495692253,0.0,0.7422566413879395,0.364196240901947,-0.07845239341259003,0.0,0.7260592579841614,0.2891605496406555,-0.08563054352998734,0.0,0.7064699530601501,0.21945342421531677,-0.09126044809818268,0.0
Hi,0.7892601490020752,0.8587411642074585,5.471549684443744e-07,0.0,0.6673995852470398,0.8419190645217896,-0.043516792356967926,0.0,0.5482764840126038,0.7612616419792175,-0.06306768953800201,0.0,0.4569564461708069,0.6877243518829346,-0.08065196126699448,0.0,0.3753312826156616,0.6549912095069885,-0.09693489968776703,0.0,0.5566405057907104,0.5432793498039246,-0.014521612785756588,0.0,0.4752177596092224,0.4208278954029083,-0.044725410640239716,0.0,0.4233170747756958,0.3504120707511902,-0.07397283613681793,0.0,0.37891945242881775,0.28442975878715515,-0.09715874493122101,0.0,0.6154205203056335,0.4887193441390991,-0.020708393305540085,0.0,0.5441657304763794,0.34563395380973816,-0.04394243285059929,0.0,0.4968872368335724,0.257427841424942,-0.069105364382267,0.0,0.45482775568962097,0.18321168422698975,-0.08928554505109787,0.0,0.6843332648277283,0.4712209701538086,-0.03549221158027649,0.0,0.6406161189079285,0.3227540850639343,-0.06340797245502472,0.0,0.6100355982780457,0.23316073417663574,-0.080873042345047,0.0,0.5776357650756836,0.1562381386756897,-0.0944085344672203,0.0,0.7605863809585571,0.48132628202438354,-0.05531777814030647,0.0,0.744597315788269,0.36530932784080505,-0.08017828315496445,0.0,0.7296699285507202,0.28969597816467285,-0.0880398079752922,0.0,0.710648775100708,0.21963921189308167,-0.09406768530607224,0.0
